,iso,covax_total,avat_total,bilateral_total,donation_total,GGHE,Funding_amount,Funding amount utilized,Disbursement amount,Proportion_utilized,vaccine_willingness,funding_as_GGHE_prop,country,xcovax_offer,xcovax_strtemp,xcovax_should_have,name_short,income_group,population,Administration_rate_fully_vaccianted_70,per_population_current_doses_remaining_country,per_population_courses_secured_shipped_per_country,num_courses_remaining_country,num_doses_administered_per_capita,per_courses_req_secured_WHO_70,per_courses_shipped_WHO_70,per_courses_secured_WHO_70,doses_administered_by_population,num_courses_administered_WHO_70,num_courses_secured_WHO_70,num_courses_shipped_WHO_70,per_courses_administered_WHO_70,WHO_70per_global_target_vaccination_coverage_by_mid_status,WHO_40per_global_target_vaccination_coverage_by_mid_status,WHO_20per_global_target_vaccination_coverage_by_mid_status,WHO_10per_global_target_vaccination_coverage_by_mid_status,num_of_courses_required_WHO_70per,num_of_courses_required_administered_WHO_70per,num_of_courses_required_shipped_WHO_70per,num_of_courses_required_secured_WHO_70per,num_of_courses_required_WHO_40per,num_of_courses_required_administered_WHO_40per,num_of_courses_required_shipped_WHO_40per,num_of_courses_required_secured_WHO_40per,num_of_doses_administered_date,num_of_courses_secured,num_of_courses_delivered_date,num_of_doses_delivered_date,num_of_doses_remaining_in_country,per_of_population_fully_vaccinated_per_country,per_of_population_coverage_in_national_target_definition,Administration_rate__fully_vaccinated_4wk_average,National_target_deadline,Progress_national_target,National_target_detail,Progress_target_per_country,COVAX_participation_modality,total_vaccine_doses_received_utilized,who_region,vaccine_courses_secured_population,courses_delivered_date_population,Number_individuals_fully_vaccinated_any_product_from_any_source,day_average_of_individuals_fully_vaccinated,day_average_of_total_COVID_vaccine,days_until_country_coverage_target_achievement,doses_remaining_in_country_population,Vaccination_60_above,Vaccination_for_HCW,t70_scaleup,reported_supply_bottleneck,reported_lack_funding_bottleneck,reported_delivery_bottleneck,reported_health_bottleneck_bottleneck,reported_demand_challenges_bottleneck,reported_strategy_protocols_bottleneck,reported_needs_risk_and_engagement_strategies,reported_needs_health_recruitment_and_training,reported_needs_rapid_or_to_and_gaps_health_absorption_capacities,reported_needs_financial_support_support,reported_needs_procurement_vaccines_vaccines,reported_needs_guidance_developing_policies_or_for_up_vaccination_vaccination,reported_needs_operational_and_for_chain_management,Intent_to_vaccinate1,Name,Mortality,Primary_series_coverage,first_dose_coverage,pop_60,pop_hcw
33,BFA,4153190,302400,NA,4.00E+05,337927779.3,9656449,1144242,2428552.132,2.122411283,0.725,0.028575481,NA,NA,NA,NA,Burkina Faso,LIC,20903273,0.021605717,0.087363783,0.46126475,1826189,0.140121071,0.173791341,0.131537471,0.599045138,0.140121071,1539151,9641943,2117164,0.90437395,Off track,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,16095520,14556369,12439205,2797262,9197440,7658289,5541125,0,2928989,13298258,3656315,7312630,3652378,0.073632058,0.7,0.000530136,12/31/2022,Off track,0.7,NA,AMC,0.500538384,AFR,0.636180659,0.174915909,1539151,0.000866013,18102.5,1397,0.174727565,0.597640219,0.516757914,24.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6,Burkina Faso,0.005,7.365,11.635,851021,56988
34,BDI,0,302400,NA,5.00E+05,65979512.47,62608059,NA,280604.58,NA,NA,0.94890151,NA,NA,NA,NA,Burundi,LIC,11890784,0.020260366,0.029842271,0.60568399,354848,0.001048207,0.169578667,0.042553745,0.786602612,0.001048207,11582,7202058,389618,0.998735024,Off track,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,9155904,9144322,8754704,1552646,5231945,5220363,4830745,0,12464,7603258,401200,802400,709696,0.000974032,0.4,3.71E-06,12/31/2021,Deadline past,0.4,NA,AMC,0.1155334,AFR,0.639424406,0.033740416,11582,0,0,NA,0.059684542,NA,NA,0,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,NA,Burundi,0,0.102,0.106,506228,7888
35,CPV,361220,0,NA,530150,63748362.78,16565882.69,72358,100940.5534,1.395015802,NA,0.259863657,NA,NA,NA,NA,Cabo Verde,LMIC,555987,0.00374369,0.170145165,0.046296046,94598.5,1.352898539,0,0.282850202,0,1.352898539,307019,0,121091,0.282850202,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,428110,121091,0,0,244634,0,0,0,752194,548735,522995,1045990,189197,0.552205357,0.7,1.33E-05,12/31/2021,Deadline past,0.7,"40% target met, not on track for 70%",AMC,0.819121598,AFR,0.98695653,0.940660483,307019,0.001211745,673.7142857,173,0.340290331,0.423646326,1,3.09,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,NA,Cabo Verde,0,55.243,63.841,44110,4643
36,KHM,3926960,0,22610000,10101000,313039649.5,14722745.89,1299795,7038454.44,5.415049635,0.983,0.047031569,NA,NA,NA,NA,Cambodia,LMIC,16718965,0,0.177817646,0.198297712,2972927,2.224353421,0,0,0,2.224353421,12873603,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,12873603,0,0,0,7356345,0,0,0,37188887,27279078,23963745,47927490,5945854,0.844005894,0.95,0.000461065,12/31/2022,On track,0.95,70% target met,AMC,0.875940634,WPR,1.631624775,1.433327063,14110905,0.001480947,24759.89286,113,0.355635292,1,0.755304053,0,No,No,No,No,No,No,No,No,No,No,No,No,No,97.8,Cambodia,0,84.981,89.403,1323073,57786
37,CMR,1380750,763200,NA,2.00E+05,81361801.48,101211138.9,5507618,6585805.442,1.195762931,0.586,1.243963838,Cameroon,NA,NA,NA,Cameroon,LMIC,26545863,0.016344939,0.00766999,0.57020269,203606.5,0.06889518,0.198701341,0.001622627,0.740522932,0.06889518,1209108,15136522,33167,0.9408469,Off track,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,20440315,19231207,19198040,4061518,11680180,10471072,10437905,0,1828882,16378798,1242275,2484550,407213,0.045547888,0.2,2.46E-05,12/31/2022,Off track,0.2,NA,AMC,0.83610191,AFR,0.617000001,0.046797311,1209108,3.68E-05,977.3928571,8039,0.01533998,0.082364983,0.310806826,443.93,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,57.7,Cameroon,0,4.555,5.848,1175882,186521
38,CAN,972000,0,314900000,1.00E+06,NA,NA,NA,NA,NA,0.924,NA,NA,NA,NA,NA,Canada,HIC,37742154,0,0.144638977,2.850481454,5458986.55,2.168439538,0,0,0,2.168439538,29061459,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,29061459,0,0,0,16606548,0,0,0,81841579,159116394,51533084,103066169,10917973.1,0.825187852,NA,0.000132502,,Not captured,NA,70% target met,Self-financing,0.894068314,AMR,4.215880048,1.365398594,31144367,0.000536233,20238.57143,NA,0.289277954,0.948831651,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2,Canada,1.089,82.519,86.134,9678405,2629087
39,CYM,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayman Islands,HIC,65720,0,0,NA,0,2.171485088,NA,0,NA,2.171485088,50604,NA,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,50604,0,0,NA,28917,0,0,NA,142710,NA,78491,156982,0,0.895404747,NA,0.000250522,,Not captured,NA,70% target met,,1,AMR,NA,1.194324407,58846,0.000865142,56.85714286,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayman Islands,0,89.54,92.515,NA,NA
40,CAF,2267660,0,NA,150000,NA,7931563.37,1303508,2967472.583,2.276528094,NA,NA,NA,NA,NA,NA,CAR,LIC,4829767,0.010600613,0.12782921,0.365354167,617385.3,0.214830239,0.186056117,0.073630497,0.474486014,0.214830239,988591,1764576,273826,0.734172627,Off track,3) Goal not yet met,2) Goal met after deadline,2) Goal met after deadline,3718921,2730330,2456504,691928,2125097,1136506,862680,0,1037580,3026992,1262417,2524834,1234770.6,0.2046871,0.52,0.000543956,12/31/2023,On track,0.52,NA,AMC,0.510949789,AFR,0.626736756,0.261382588,988591,0.000111333,537.7142857,5600,0.25565842,NA,NA,95.22,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,NA,Central African Republic,0,20.469,21.184,221086,8672
41,CHL,2307800,0,79800000,NA,13859708718,0,NA,0,NA,0.969,0,NA,NA,NA,NA,Chile,HIC,19116201,0,0.041583111,0.625334631,794911.1,2.751067537,0,0,0,2.751067537,14719475,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,14719475,0,0,0,8411128,0,0,0,52589960,42053902,30099879,60199758,1589822.2,0.913143046,NA,0.000137105,,Not captured,NA,70% target met,Self-financing,0.973590887,AMR,2.199908941,1.57457431,17455826,0.003479031,66505.85714,NA,0.083166221,0.940939513,1,0,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,96.2,Chile,0.513,91.314,93.706,3449362,505945
42,CHN,0,0,1.00E+08,NA,4.03567E+11,0,NA,0,NA,NA,0,NA,NA,NA,NA,China,UMIC,1471286879,0,0.395435822,0,581799536.5,1.459595459,0,0,0,1.459595459,1132890897,0,0,0,Goal met,2) Goal met after deadline,1) Goal met by deadline,2) Goal met after deadline,1132890897,0,0,0,647366227,0,0,0,2147483647,1834956787,1839490400,3678980800,1163599073,0.849957265,NA,0.025173654,,Not captured,NA,70% target met,Self-financing,0.683717003,WPR,1.247178109,1.250259502,1250530971,0.043116666,63436985.46,NA,0.790871644,0.819597029,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,0.012,85.447,87.528,258370873,18032270
43,COL,18312480,0,26500000,6.00E+06,18250225996,11200000,NA,0,NA,0.96,0.000613691,NA,NA,NA,NA,Colombia,UMIC,50882891,0,0.311272418,1.97E-08,15838440.5,1.614121002,0,0.100722729,0,1.614121002,35233527,0,3946299,0.100722729,On track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,39179826,3946299,0,0,22388472,0,0,0,82131143,63226681,63226680,126453360,31676881,0.692443497,NA,0.000518185,,Not captured,NA,"40% target met, on track for 70%",Self-financing,0.749497514,AMR,1.242592151,1.242592132,35233527,0.001543096,78517.17857,NA,0.622544835,0.810602747,0.846269966,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3,Colombia,0.024,69.59,82.741,6985756,1047323
44,COM,0,0,2.00E+05,1.00E+05,5027591.168,21982030,146720,261626.08,1.783165758,NA,4.372278744,NA,NA,NA,NA,Comoros,LMIC,869601,0.011805936,0.076772163,0.532662681,66761.15,0.738637605,0,0.19385806,0.356289567,0.738637605,301218,238569,129806,0.550147627,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,669593,368375,238569,0,382624,81406,0,0,642320,894228,431024,862047,133522.3,0.346386446,0.6,0,6/30/2022,Off track,0.6,"between 10% and 40%, off track for 70%",AMC,0.845110185,AFR,1.028319885,0.495657204,301218,0.000110601,96.17857143,4169,0.153544327,NA,1,106.74,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,NA,Comoros,0,34.639,39.248,46350,2334
45,CNG,1882710,355200,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,COK,0,0,NA,NA,8560012.884,198193,NA,129070.6569,NA,NA,0.023153353,NA,NA,NA,NA,Cook Islands,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21778,43556,NA,NA,NA,NA,,Not captured,NA,NA,No,NA,WPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook Islands,0,83.574,85.476,3337,352
47,CRI,1650840,0,10500000,638330,3292372960,550000,NA,0,NA,0.962,0.000167053,NA,NA,NA,NA,Costa Rica,UMIC,5094118,0,0.171761755,0.143087773,874974.65,2.084202408,0,0,0,2.084202408,3922471,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,3922471,0,0,0,2241412,0,0,0,10617173,7599530,6870624,13741247,1749949.3,0.801777265,NA,0.000791838,,Not captured,NA,70% target met,Self-financing,0.872649891,AMR,1.491824492,1.348736719,4084348,0.003161209,16103.57143,NA,0.343523511,0.848018885,1,0,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,96.1,Costa Rica,0.314,80.178,86.396,801922,85457
48,CIV,14555570,2498400,1.00E+05,175000,519209981.2,114294915.3,2628307,3226956.782,1.227770113,0.845,0.220132354,NA,NA,NA,NA,Côte d'Ivoire,LMIC,26378274,0.015935619,0.083854747,0.270918711,2211943.5,0.454244504,0.19941726,0.181041895,0.351842482,0.454244504,5437294,7146368,3677191,0.732301637,Off track,3) Goal not yet met,2) Goal met after deadline,2) Goal met after deadline,20311271,14873977,11196786,4050418,11606441,6169147,2491956,0,11982186,16260853,9114485,18228970,4423887,0.20612774,0.7,0.000595952,6/30/2022,Off track,0.7,NA,AMC,0.757315581,AFR,0.616448711,0.345529999,5437294,0.00116939,30846.5,763,0.167709495,0.427364993,0.278508217,13.63,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,NA,NA,NA,20.643,30.148,1272063,110740
49,HRV,0,0,NA,NA,3464739907,0,NA,0,NA,0.761,0,NA,NA,NA,NA,Croatia,HIC,4058165,0.004991243,0.287271957,2.126858937,1165797,1.290300912,0,0.284338421,0,1.290300912,2236290,0,888497,0.284338421,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,3124787,888497,0,0,1785593,0,0,0,5236254,12835504,4204360,8408720,2331594,0.551059407,NA,3.41E-05,,Not captured,NA,"40% target met, not on track for 70%",No,0.722717132,EUR,3.16288384,1.036024903,2236290,0.000186863,758.3214286,NA,0.574543913,1,0.705223538,26.71,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,72.6,Croatia,1.306,55.122,56.986,1171841,109592
50,CUB,0,0,NA,NA,9948521252,1215090,NA,715090.09,NA,NA,0.000122138,NA,NA,NA,NA,Cuba,UMIC,11326616,0,0,0,0,3.15214659,0,0,0,3.15214659,8721494,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8721494,0,0,0,4983711,0,0,0,35703154,19622404,19649798,39299596,0,0.878048218,NA,9.81E-05,,Not captured,NA,70% target met,No,1,AMR,1.732415401,1.734833952,9945315,0.001010833,11449.32143,NA,0,NA,NA,0,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Cuba,0,87.805,94.078,2487080,576167
51,CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao,HIC,164093,0.002490117,NA,NA,NA,1.526548969,NA,NA,NA,1.526548969,98978,NA,NA,0.216648727,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,126352,27374,NA,NA,72201,0,NA,NA,250496,NA,NA,NA,NA,0.603182342,NA,0.000101423,,Not captured,NA,"40% target met, not on track for 70%",,NA,AMR,NA,NA,98978,0.000819439,134.4642857,NA,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao,0.609,60.318,65.737,41471,NA
52,CYP,0,0,NA,196000,NA,NA,NA,NA,NA,0.885,NA,NA,NA,NA,NA,Cyprus,HIC,888005,0,0.457579462,2.804796144,406332.85,1.983395364,0,0.036949883,0,1.983395364,658499,0,25265,0.036949883,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,683764,25265,0,0,390722,0,0,0,1761265,3920635,1429962,2859923,812665.7,0.741548753,NA,8.69E-05,,Not captured,NA,70% target met,No,0.715843503,EUR,4.415104645,1.610308501,658499,0.00125675,1116,NA,0.915158924,1,0.125620347,0,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,NA,Cyprus,1.351,74.187,74.622,245598,29016
53,CZE,0,0,NA,135620,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,Czechia,HIC,10693939,0.001941971,0.301087396,1.917115059,3219810.25,1.639312231,0,0.167052025,0,1.639312231,6858771,0,1375562,0.167052025,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8234333,1375562,0,0,4705333,0,0,0,17530705,33818360,13316848,26633695,6439620.5,0.641369939,NA,2.87E-05,,Not captured,NA,"40% target met, not on track for 70%",No,0.75821528,EUR,3.162385675,1.245270615,6858771,0.000417219,4461.714286,NA,0.602174793,1,0.996723124,4.65,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,79.9,Czechia,0.355,64.157,64.999,2825598,376756
54,PRK,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,DPRKorea,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,12943522,NA,NA,NA,NA,0.2,NA,12/31/2021,,0.2,NA,AMC,NA,SEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Democratic People's Republic of Korea,0,NA,NA,3988136,283804
55,COD,3704680,2419200,NA,850000,234645958.6,245785469,13252291,18313365.21,1.381901832,0.659,1.047473694,NA,NA,NA,NA,DRCongo,LIC,89561403,0.024434511,0.036084668,0.72480938,3231793.5,0.012764271,0,0.045838595,0.938720341,0.012764271,1064851,64736295,3161134,0.984558936,Off track,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,68962280,67897429,64736295,0,39407017,38342166,35181032,0,1143186,69140930,4225985,8451970,6463587,0.011889619,0.45,0.000221325,12/31/2022,Off track,0.45,NA,AMC,0.235256751,AFR,0.771994717,0.047185337,1064851,0.000105442,9443.571429,8235,0.072169336,0.001391315,0.025207446,231.73,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,63.3,Democratic Republic of the Congo,0,1.189,1.978,4332461,321770
56,DNK,0,0,NA,NA,NA,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA,Denmark,HIC,5822763,0,0,2.093027571,0,2.263547735,0,0,0,2.263547735,4483528,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4483528,0,0,0,2562016,0,0,0,13180102,18280974,6093770,12187539,0,0.822647255,NA,0.000302507,,Not captured,NA,70% target met,No,1,EUR,3.139570252,1.046542681,4790080,0.000280979,1636.071429,NA,0,1,0.920808158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,Denmark,1.168,82.207,83.03,1534340,519988
57,DJI,271230,0,1.00E+05,2.00E+05,33679192.77,2861536.481,978421,1180381.383,1.206414604,NA,0.084964521,NA,NA,NA,NA,Djibouti,LMIC,988000,0.018970928,0.717205972,0.217878036,708599.5,0.17905668,0,0.847122614,0,0.17905668,116303,0,644457,0.847122614,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,760760,644457,0,0,434720,318417,0,0,176908,1100878,885615,1771230,1417199,0.117715587,0.4,0.000343045,6/1/2022,Off track,0.4,NA,AMC,0.199878615,EMR,1.114249494,0.896371457,116303,0.000345069,340.9285714,1519,1.434411943,NA,NA,54.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Djibouti,0,12.197,16.251,76108,7124
58,DMA,101920,0,NA,120200,22784494.37,555000.03,230000,230000,1,0.855,0.024358672,NA,NA,NA,NA,Dominica,UMIC,71991,0.009425633,0.927018655,0.574863525,66737,0.922809796,0,0.455378565,0,0.922809796,30190,0,25243,0.455378565,Off track,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,55433,25243,0,0,31676,1486,0,0,66434,152445,111060,222120,133474,0.419357975,0.7,9.03E-05,12/31/2022,Off track,0.7,"between 10% and 40%, off track for 70%",AMC,0.399090582,AMR,2.117556361,1.542692837,30190,0.000148332,10.67857143,3558,1.85403731,NA,0.491511159,63.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominica,0,41.936,45.281,11663,1440
59,DOM,463200,0,30877990,80000,2173208011,23769462,NA,0,NA,0.959,0.0109375,NA,NA,NA,NA,Dominican Republic,UMIC,10847910,0.003324928,0,0.657527302,0,1.428241016,0,0.286389108,0,1.428241016,5960714,0,2392177,0.286389108,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8352891,2392177,0,0,4773080,0,0,0,15493430,15710595,8577798,17155595,0,0.549480407,NA,9.45E-05,,Not captured,NA,"40% target met, not on track for 70%",Self-financing,1,AMR,1.44826008,0.790732777,5960714,0.000240175,2605.392857,NA,0,NA,NA,13.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,Dominican Republic,0,54.948,66.432,1251287,180250
60,ECU,6083250,0,8.00E+06,3614950,4585736159,296561534,NA,0,NA,0.967,0.064670431,NA,NA,NA,NA,Ecuador,UMIC,17643054,0,0.28088429,0,4955656.7,1.940375572,0,0,0,1.940375572,13585152,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,13585152,0,0,0,7762944,0,0,0,34234151,24523498,24525258,49050516,9911313.4,0.787617098,NA,0.000348109,,Not captured,NA,70% target met,Self-financing,0.797936613,AMR,1.389980357,1.390080085,13895971,0.001959094,34564.39286,NA,0.56176858,0.900750816,1,0,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,96,Ecuador,0,78.762,85.653,2018072,208611
61,EGY,61467570,4567200,9.50E+07,6383800,3550291585,18418053.37,4499931,6087065.178,1.352701892,0.882,0.005187758,NA,NA,NA,NA,Egypt,LMIC,102334404,0.010978627,0.0142471,0.750915762,1457968.5,0.795276591,0,0.161206757,0.405648779,0.795276591,34130697,31964106,12702688,0.566855536,Off track,3) Goal not yet met,1) Goal met by deadline,2) Goal met after deadline,78797491,44666794,31964106,0,45027138,10896441,0,0,81384156,123677902,46833385,93666770,2915937,0.333521237,0.5,0.000695347,,No timeline,0.5,NA,AMC,0.968869034,EMR,1.208566202,0.45765044,34130697,0.00125134,128055.1071,172,0.0284942,NA,NA,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,Egypt,0.027,33.695,45.367,8717911,815267
62,SLV,3606050,0,9420000,850800,1182840319,94935214,279812,319812,1.142953126,0.968,0.08026038,NA,NA,NA,NA,El Salvador,LMIC,6486205,0.000585911,0.082057166,0.26895018,532239.6,1.642026732,0,0.141360946,0,1.642026732,4288368,0,706010,0.141360946,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4994378,706010,0,0,2853930,0,0,0,10650522,8252800,6508334,13016668,1064479.2,0.661152091,0.8,0,6/30/2022,Off track,0.8,"40% target met, not on track for 70%",AMC,0.918221837,AMR,1.272361882,1.003411702,4288368,0.001342773,8709.5,173,0.164114332,0.841574726,1,0.44,No,No,No,No,No,No,No,No,No,No,No,No,No,95.2,El Salvador,0,66.115,70.604,800876,67857
63,GNQ,0,0,5.00E+05,3.00E+05,81728347.6,783729,NA,0,NA,NA,0.009589439,NA,NA,NA,NA,Equatorial Guinea,UMIC,1402985,0.018931918,0.000348649,0.098209175,489.15,0.33571706,0.629731796,0.046149303,0.127544437,0.33571706,212359,137786,49855,0.803425536,Off track,3) Goal not yet met,3) Goal not yet met,1) Goal met by deadline,1080298,867939,818084,680298,617313,404954,355099,217313,471006,400000,262214,524427,978.3,0.151362274,0.4,0.00011557,12/31/2021,Deadline past,0.4,"between 10% and 40%, off track for 70%",No,0.998134535,AFR,0.285106398,0.186897223,212359,5.20E-05,72.96428571,8849,0.000697299,NA,NA,364.03,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Equatorial Guinea,0,14.737,18.924,54141,12930
64,ERI,NA,NA,NA,NA,12787914.98,357784.6296,NA,5538.38,NA,NA,0.02797834,NA,NA,NA,NA,Eritrea,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160877,NA,NA,NA,NA,NA,NA,,Not captured,NA,NA,AMC,NA,AFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eritrea,0,NA,NA,230448,13902
65,EST,0,0,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA,Estonia,HIC,1328976,0.00247057,0.167631319,2.087480888,222778,1.551561503,0,0.183055608,0,1.551561503,835989,0,187323,0.183055608,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1023312,187323,0,0,584749,0,0,0,2061988,4167292,1393080,2786160,445556,0.629047477,NA,3.72E-05,,Not captured,NA,"40% target met, not on track for 70%",No,0.840082407,EUR,3.135716522,1.048235634,835989,0.000762537,1013.392857,NA,0.335262638,1,0.685918775,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estonia,0.15,62.925,63.274,360416,40870
66,SWZ,491730,0,NA,20000,101271737.7,13613296,230000,635199.4834,2.761736884,NA,0.134423446,NA,NA,NA,NA,Eswatini,LMIC,1160164,0.010626821,0.006127237,0.36512812,7108.6,0.461480446,0.184006734,-0.034396178,0.474193072,0.461480446,336066,423609,-30727,0.623803628,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,893326,557260,587987,164378,510472,174406,205133,0,535393,728948,305339,610678,14217.2,0.289671115,0.7,0,6/30/2022,Off track,0.7,"between 10% and 40%, off track for 70%",AMC,0.976718991,AFR,0.628314187,0.263186067,336066,0.000365773,424.3571429,2122,0.012254474,0.439942185,1,29.05,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,NA,Eswatini,0.172,28.967,33.398,66554,14530
67,ETH,38848490,1430400,NA,1700000,618344226.7,450692249.8,1.50E+07,17519701.24,1.167980083,0.769,0.728869504,NA,NA,NA,NA,Ethiopia,LIC,114963588,0.012771861,0.054121271,0.34059659,6221975.5,0.255502447,0.295224497,0.021921136,0.442333232,0.255502447,21291403,39156206,1940502,0.759478865,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,88521963,67230560,65290058,26133852,50583979,29292576,27352074,0,29373478,62388111,23231905,46463810,12443951,0.185201274,0.46,7.75E-05,12/31/2022,Off track,0.46,NA,AMC,0.732179711,AFR,0.542677139,0.202080549,21291403,0,0,NA,0.108242542,0.443911839,0.560031785,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,74.1,Ethiopia,0,18.52,21.546,6301469,416370
